Al & Ryan,33
Andrew & Connie,17
Brett & Jim,30
Brothers in Arms,17
Cam & Paul,29
Charlie,35
Chris,39
Comorose,28
D.F.J.,34
Dan & Coutts,20
"Dave, Quinton, & Maj",38
Dennis & Bruce,28
Geoff Graham,30
Gilles,41
John M.,35
KJR Radio,25
Lu,27
Marty,34
Mr. Saturday Night,22
Nautical Disaster,14
Ross Graham,28
Shane & Dom,20
Team Charley,28
The Hurtin Albertins,23
ToMaTo,35
Yan,19
